Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
Charlotte Bobcats,7,59,0.106,39.0,87.0,100.9,-13.96,2012
New York Knicks,54,28,0.659,0.0,100.0,95.7,3.73,2013
Brooklyn Nets,49,33,0.598,5.0,96.9,95.1,1.25,2013
Boston Celtics,41,40,0.506,12.5,96.5,96.7,-0.62,2013
Philadelphia 76ers,34,48,0.415,20.0,93.2,96.5,-3.51,2013
Toronto Raptors,34,48,0.415,20.0,97.2,98.7,-1.96,2013
Indiana Pacers,49,32,0.605,0.0,94.7,90.7,3.34,2013
Chicago Bulls,45,37,0.549,4.5,93.2,92.9,-0.02,2013
Milwaukee Bucks,38,44,0.463,11.5,98.9,100.4,-1.83,2013
Detroit Pistons,29,53,0.354,20.5,94.9,98.8,-4.33,2013
Cleveland Cavaliers,24,58,0.293,25.5,96.5,101.2,-4.87,2013
Miami Heat,66,16,0.805,0.0,102.9,95.0,7.03,2013
Atlanta Hawks,44,38,0.537,22.0,98.0,97.5,-0.08,2013
Washington Wizards,29,53,0.354,37.0,93.2,95.8,-2.78,2013
Charlotte Bobcats,21,61,0.256,45.0,93.4,102.7,-9.29,2013
Orlando Magic,20,62,0.244,46.0,94.1,101.1,-7.12,2013
Toronto Raptors,48,34,0.585,0.0,101.3,98.0,2.55,2014
Brooklyn Nets,44,38,0.537,4.0,98.5,99.5,-1.58,2014
New York Knicks,37,45,0.451,11.0,98.6,99.4,-1.4,2014
Boston Celtics,25,57,0.305,23.0,96.2,100.7,-4.97,2014
Philadelphia 76ers,19,63,0.232,29.0,99.5,109.9,-10.66,2014
Indiana Pacers,56,26,0.683,0.0,96.7,92.3,3.63,2014
Chicago Bulls,48,34,0.585,8.0,93.7,91.8,1.2,2014
Cleveland Cavaliers,33,49,0.402,23.0,98.2,101.5,-3.86,2014
Detroit Pistons,29,53,0.354,27.0,101.0,104.7,-4.13,2014
Milwaukee Bucks,15,67,0.183,41.0,95.5,103.7,-8.41,2014
Miami Heat,54,28,0.659,0.0,102.2,97.4,4.15,2014
Washington Wizards,44,38,0.537,10.0,100.7,99.4,0.48,2014
Charlotte Bobcats,43,39,0.524,11.0,96.9,97.1,-0.89,2014
Atlanta Hawks,38,44,0.463,16.0,101.0,101.5,-0.88,2014
Orlando Magic,23,59,0.28,31.0,96.5,102.0,-5.88,2014
Toronto Raptors,49,33,0.598,0.0,104.0,100.9,2.45,2015
Boston Celtics,40,42,0.488,9.0,101.4,101.2,-0.4,2015
Brooklyn Nets,38,44,0.463,11.0,98.0,100.9,-3.13,2015
Philadelphia 76ers,18,64,0.22,31.0,92.0,101.0,-9.04,2015
New York Knicks,17,65,0.207,32.0,91.9,101.2,-9.5,2015
Cleveland Cavaliers,53,29,0.646,0.0,103.1,98.7,4.08,2015
Chicago Bulls,50,32,0.61,3.0,100.8,97.8,2.54,2015
Milwaukee Bucks,41,41,0.5,12.0,97.8,97.4,-0.09,2015
Indiana Pacers,38,44,0.463,15.0,97.3,97.0,-0.23,2015
Detroit Pistons,32,50,0.39,21.0,98.5,99.5,-1.39,2015
Atlanta Hawks,60,22,0.732,0.0,102.5,97.1,4.75,2015
Washington Wizards,46,36,0.561,14.0,98.5,97.8,0.17,2015
Miami Heat,37,45,0.451,23.0,94.7,97.3,-2.92,2015
Charlotte Hornets,33,49,0.402,27.0,94.2,97.3,-3.44,2015
Orlando Magic,25,57,0.305,35.0,95.7,101.4,-5.87,2015
Cleveland Cavaliers,57,25,0.695,0.0,104.3,98.3,5.45,2016
Toronto Raptors,56,26,0.683,1.0,102.7,98.2,4.08,2016
Miami Heat,48,34,0.585,9.0,100.0,98.4,1.5,2016
Atlanta Hawks,48,34,0.585,9.0,102.8,99.2,3.49,2016
Boston Celtics,48,34,0.585,9.0,105.7,102.5,2.84,2016
Charlotte Hornets,48,34,0.585,9.0,103.4,100.7,2.36,2016
Indiana Pacers,45,37,0.549,12.0,102.2,100.5,1.62,2016
