Team Name,Player Link,Player,Pos,Seasons With Team,Year of Induction
DENVER NUGGETS,https://www.nba.com/player/77532,George McGinnis,F,1978-1980,2017
DENVER NUGGETS,https://www.nba.com/player/947,Allen Iverson,G,2007-2009,2016
DENVER NUGGETS,https://www.nba.com/player/87,Dikembe Mutombo,C,1992-1996,2015
DENVER NUGGETS,https://www.nba.com/player/76981,Spencer Haywood,F,1970,2015
DENVER NUGGETS,https://www.nba.com/player/36,Sarunas Marciulionis,G,1997,2014
DENVER NUGGETS,https://www.nba.com/player/76673,Alex English,F,1980-1990,1997
DENVER NUGGETS,https://www.nba.com/player/78326,David Thompson,G,1976-1982,1996
DENVER NUGGETS,https://www.nba.com/player/77097,Dan Issel,C,1976-1985,1993
MINNESOTA TIMBERWOLVES,https://www.nba.com/player/708,Kevin Garnett,F,"1996-2007, 2015-2016",2020
OKLAHOMA CITY THUNDER,https://www.nba.com/player/78149,Jack Sikma,C,1978-1986,2019
OKLAHOMA CITY THUNDER,https://www.nba.com/player/78500,Paul Westphal,G,1981,2019
OKLAHOMA CITY THUNDER,https://www.nba.com/player/951,Ray Allen,G,2002-2007,2018
OKLAHOMA CITY THUNDER,https://www.nba.com/player/76981,Spencer Haywood,F,1971-1975,2015
OKLAHOMA CITY THUNDER,https://www.nba.com/player/36,Sarunas Marciulionis,G,1995,2014
OKLAHOMA CITY THUNDER,https://www.nba.com/player/56,Gary Payton,G,1991-2003,2013
OKLAHOMA CITY THUNDER,https://www.nba.com/player/77141,Dennis Johnson,G,1977-1980,2010
OKLAHOMA CITY THUNDER,https://www.nba.com/player/121,Patrick Ewing,C,2001,2008
OKLAHOMA CITY THUNDER,https://www.nba.com/player/78326,David Thompson,G,1983-1984,1996
OKLAHOMA CITY THUNDER,https://www.nba.com/player/78530,Lenny Wilkens,G,1969-1972,1989
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/717,Arvydas Sabonis,C,1996-2003,2011
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/937,Scottie Pippen,F,2000-2003,2010
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/17,Clyde Drexler,G,1984-1995,2004
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/77845,Drazen Petrovic,G,1990-1991,2002
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/78450,Bill Walton,C,1975-1978,1993
PORTLAND TRAIL BLAZERS,https://www.nba.com/player/78530,Lenny Wilkens,G,1975,1989
UTAH JAZZ,https://www.nba.com/player/77264,Bernard King,F,1980,2013
UTAH JAZZ,https://www.nba.com/player/252,Karl Malone,F,1986-2003,2010
UTAH JAZZ,https://www.nba.com/player/304,John Stockton,G,1985-2003,2009
UTAH JAZZ,https://www.nba.com/player/76504,Adrian Dantley,F,1980-1986,2008
UTAH JAZZ,https://www.nba.com/player/76832,Gail Goodrich,G,1977-1979,1996
UTAH JAZZ,https://www.nba.com/player/76144,Walt Bellamy,C,1975,1993
UTAH JAZZ,https://www.nba.com/player/77459,Pete Maravich,G,1975-1980,1987
GOLDEN STATE WARRIORS,https://www.nba.com/player/896,Tim Hardaway,G,1990-1996,2022
GOLDEN STATE WARRIORS,https://www.nba.com/player/185,Chris Webber,F,"1994, 2008",2021
GOLDEN STATE WARRIORS,https://www.nba.com/player/78510,Jo Jo White,G,1979-1980,2015
GOLDEN STATE WARRIORS,https://www.nba.com/player/78003,Guy Rodgers,G,1959-1966,2014
GOLDEN STATE WARRIORS,https://www.nba.com/player/782,Mitch Richmond,G,1989-1991,2014
GOLDEN STATE WARRIORS,https://www.nba.com/player/36,Sarunas Marciulionis,G,1990-1993,2014
GOLDEN STATE WARRIORS,https://www.nba.com/player/77264,Bernard King,F,1981-1982,2013
GOLDEN STATE WARRIORS,https://www.nba.com/player/78532,Jamaal Wilkes,F,1975-1977,2012
GOLDEN STATE WARRIORS,https://www.nba.com/player/78055,Ralph Sampson,C,1988-1989,2012
GOLDEN STATE WARRIORS,https://www.nba.com/player/904,Chris Mullin,F,"1986-1997, 2001",2011
GOLDEN STATE WARRIORS,https://www.nba.com/player/305,Robert Parish,C,1977-1980,2003
GOLDEN STATE WARRIORS,https://www.nba.com/player/77169,Neil Johnston,C,1952-1959,1990
GOLDEN STATE WARRIORS,https://www.nba.com/player/600013,Rick Barry,F,"1966-1967, 1973-1978",1987
GOLDEN STATE WARRIORS,https://www.nba.com/player/600001,Nate Thurmond,C,1964-1974,1985
GOLDEN STATE WARRIORS,https://www.nba.com/player/77418,Jerry Lucas,F,1970-1971,1980
GOLDEN STATE WARRIORS,https://www.nba.com/player/76375,Wilt Chamberlain,C,1960-1965,1979
GOLDEN STATE WARRIORS,https://www.nba.com/player/76764,Joe Fulks,F,1947-1954,1978
GOLDEN STATE WARRIORS,https://www.nba.com/player/76056,Paul Arizin,F,"1951-1952, 1955-1962",1978
GOLDEN STATE WARRIORS,https://www.nba.com/player/76828,Tom Gola,G,"1956, 1958-1963",1976
GOLDEN STATE WARRIORS,https://www.nba.com/player/77853,Andy Phillip,G,1951-1953,1961
LA CLIPPERS,https://www.nba.com/player/1718,Paul Pierce,F,2016-2017,2021
LA CLIPPERS,https://www.nba.com/player/255,Grant Hill,F,2012-2013,2018
LA CLIPPERS,https://www.nba.com/player/78532,Jamaal Wilkes,F,1986,2012
LA CLIPPERS,https://www.nba.com/player/76504,Adrian Dantley,F,1977,2008
LA CLIPPERS,https://www.nba.com/player/1122,Dominique Wilkins,F,1994,2006
LA CLIPPERS,https://www.nba.com/player/77449,Moses Malone,C,1977,2001
