Team Name,Player Link,Player,#,Pos,Seasons With Team,Year of Induction
SAN ANTONIO SPURS,https://www.nba.com/player/1938,Manu Ginobili,20,G,2003-2018,2019
SAN ANTONIO SPURS,https://www.nba.com/player/2225,Tony Parker,9,G,2001-2018,2019
SAN ANTONIO SPURS,https://www.nba.com/player/1495,Tim Duncan,21,F-C,1998-2016,2016
SAN ANTONIO SPURS,https://www.nba.com/player/1477,Bruce Bowen,12,F,2002-2009,2012
SAN ANTONIO SPURS,https://www.nba.com/player/422,Avery Johnson,6,G,"1991, 1993, 1995-2001",2007
SAN ANTONIO SPURS,https://www.nba.com/player/251,Sean Elliott,32,F,"1990-1993, 1995-2001",2005
SAN ANTONIO SPURS,https://www.nba.com/player/764,David Robinson,50,C,1990-2003,2003
SAN ANTONIO SPURS,https://www.nba.com/player/77633,Johnny Moore,00,G,"1981-1988, 1990",1998
SAN ANTONIO SPURS,https://www.nba.com/player/76804,George Gervin,44,G,1974-1985,1987
SAN ANTONIO SPURS,https://www.nba.com/player/78150,James Silas,13,G,1973-1981,1984
