#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
226,Kyle Anderson,GSW,13,16.4,5.2,1.9,5.5,34.7,0.6,2.3,26.7,0.8,1.1,71.4,0.8,2.6,3.4,2.8,1.2,0.7,0.4,8.9
227,Alex Caruso,OKC,13,19.7,5.0,2.0,5.6,35.6,0.6,3.0,20.5,0.4,0.5,71.4,0.7,2.2,2.9,2.2,1.8,0.7,0.7,8.2
228,Mason Plumlee,PHX,15,17.6,4.9,1.9,3.3,58.0,0.0,0.0,0.0,1.1,2.0,53.3,1.6,4.3,5.9,1.8,0.3,0.4,0.9,10.1
229,Pat Connaughton,MIL,13,17.6,4.9,1.7,4.8,35.5,0.9,3.1,30.0,0.6,0.8,80.0,0.5,2.4,2.8,1.8,0.2,0.2,0.8,6.0
230,Jared Butler,WAS,10,8.2,4.8,1.7,3.4,50.0,0.1,0.5,20.0,1.3,1.9,68.4,0.2,0.5,0.7,2.4,0.6,0.2,0.3,6.1
231,Jonathan Mogbo,TOR,16,15.7,4.7,1.7,3.6,47.4,0.1,0.4,14.3,1.3,1.8,69.0,2.4,1.8,4.3,1.6,0.9,0.4,0.8,8.6
232,Drew Eubanks,UTA,12,14.9,4.7,1.9,3.0,63.9,0.1,0.3,33.3,0.8,1.3,60.0,1.4,2.8,4.3,1.2,0.3,0.7,0.8,8.7
232,Jamal Cain,NOP,12,15.3,4.7,1.6,3.7,43.2,0.8,2.0,37.5,0.8,1.2,64.3,0.9,2.0,2.9,0.8,0.4,0.4,0.6,6.1
232,Keaton Wallace,ATL,12,16.2,4.7,1.8,4.6,40.0,0.7,2.2,30.8,0.3,0.3,100,0.2,1.3,1.5,1.8,0.8,0.5,1.0,5.6
232,Sandro Mamukelashvili,SAS,12,8.8,4.7,1.6,2.8,55.9,0.9,1.9,47.8,0.6,0.6,100,0.5,2.2,2.7,0.3,0.1,0.4,0.8,6.2
236,Jamal Shead,TOR,16,15.2,4.6,1.9,5.1,37.0,0.3,1.6,19.2,0.6,0.8,75.0,0.1,0.8,0.9,3.1,0.4,0.1,1.5,4.3
237,Gary Payton II,GSW,14,11.4,4.5,2.0,3.1,63.6,0.1,0.8,18.2,0.4,0.6,62.5,0.8,1.1,1.9,1.1,0.6,0.3,0.6,6.5
